Date : 2024-07-31 07:53:45
Directory : /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src
Total : 70 files,  2876 codes, 15 comments, 281 blanks, all 3172 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/EditButtons/index.jsx          | JavaScript JSX |         55 |          0 |          4 |         59 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/ErrorToast/index.jsx           | JavaScript JSX |         48 |          0 |          5 |         53 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Footer/index.jsx               | JavaScript JSX |         28 |          0 |          2 |         30 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Heading/index.css              | CSS            |          8 |          0 |          1 |          9 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Heading/index.jsx              | JavaScript JSX |          5 |          0 |          3 |          8 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Loader/index.jsx               | JavaScript JSX |         10 |          0 |          2 |         12 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Navbar/index.jsx               | JavaScript JSX |         86 |          0 |          6 |         92 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Subheading/index.css           | CSS            |          6 |          0 |          1 |          7 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Subheading/index.jsx           | JavaScript JSX |          9 |          0 |          4 |         13 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/SuccessToast/index.jsx         | JavaScript JSX |         48 |          0 |          4 |         52 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/dummy-data.json                           | JSON           |        298 |          0 |          0 |        298 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/authSlice.js                     | JavaScript     |        113 |          4 |          9 |        126 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/authorSlice.js                   | JavaScript     |         78 |          5 |          7 |         90 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/blogsSlice.js                    | JavaScript     |        212 |          6 |         11 |        229 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/categoriesSlice.js               | JavaScript     |        159 |          2 |          9 |        170 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/hooks/useBlogs.js                         | JavaScript     |         42 |          1 |          9 |         52 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/hooks/useCategories.js                    | JavaScript     |         35 |          0 |          9 |         44 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/index.css                                 | CSS            |         12 |          0 |          2 |         14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/index.js                                  | JavaScript     |         17 |          3 |          3 |         23 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/logo.svg                                  | XML            |          1 |          0 |          0 |          1 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blog/index.css                      | CSS            |         18 |          0 |          3 |         21 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blog/index.jsx                      | JavaScript JSX |         89 |          0 |         10 |         99 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blogs/index.css                     | CSS            |         13 |          0 |          2 |         15 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blogs/index.jsx                     | JavaScript JSX |         88 |          0 |         14 |        102 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Categories/index.css                | CSS            |          4 |          0 |          1 |          5 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Categories/index.jsx                | JavaScript JSX |         81 |          0 |         11 |         92 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Home/index.jsx                      | JavaScript JSX |         72 |          0 |         10 |         82 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Login/index.css                     | CSS            |         14 |          0 |          2 |         16 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Login/index.jsx                     | JavaScript JSX |         95 |          0 |         13 |        108 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Profile/index.jsx                   | JavaScript JSX |         82 |          0 |         12 |         94 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Register/index.css                  | CSS            |         14 |          0 |          2 |         16 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Register/index.jsx                  | JavaScript JSX |        130 |          0 |         10 |        140 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/reportWebVitals.js                        | JavaScript     |         12 |          0 |          2 |         14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/authService.js                   | JavaScript     |         76 |          0 |         10 |         86 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/blogsService.js                  | JavaScript     |        141 |          0 |          9 |        150 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/categoryService.js               | JavaScript     |         92 |          0 |          6 |         98 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/setupTests.js                             | JavaScript     |          1 |          4 |          1 |          6 |
| Total                                                                                                    |                |      2,876 |         15 |        281 |      3,172 |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
